timestamp,pack_voltage,pack_current,soc,min_cell_volt,max_cell_volt,min_temp,max_temp,state,faults,cell_0_0,cell_0_1,cell_0_2,cell_0_3,cell_0_4,cell_0_5,cell_0_6,cell_0_7,cell_0_8,cell_0_9,cell_0_10,cell_0_11,bal_0_0,bal_0_1,bal_0_2,bal_0_3,bal_0_4,bal_0_5,bal_0_6,bal_0_7,bal_0_8,bal_0_9,bal_0_10,bal_0_11
1717504538615,39.5901,0,0.0,3.297882,3.299865,100.0000,-20.0000,3,,3.298339,3.299713,3.297882,3.299407,3.299255,3.299255,3.299865,3.299713,3.299255,3.299713,3.299255,3.298492,0,0,0,0,0,0,0,0,0,0,0,0
1717504538634,39.5901,0,0.0,3.297882,3.299865,100.0000,-20.0000,3,,3.298339,3.299713,3.297882,3.299407,3.299255,3.299255,3.299865,3.299713,3.299255,3.299713,3.299255,3.298492,0,0,0,0,0,0,0,0,0,0,0,0
1717504538854,39.5903,0,0.0,3.298034,3.300323,100.0000,-20.0000,3,,3.298034,3.299713,3.298797,3.299713,3.299407,3.298645,3.299407,3.299255,3.300323,3.300018,3.29895,3.298034,0,0,0,0,0,0,0,0,0,0,0,0
1717504538874,39.5903,0,0.0,3.298034,3.300323,100.0000,-20.0000,3,,3.298034,3.299713,3.298797,3.299713,3.299407,3.298645,3.299407,3.299255,3.300323,3.300018,3.29895,3.298034,0,0,0,0,0,0,0,0,0,0,0,0
1717504539114,39.5877,0,0.0,3.297729,3.299865,100.0000,-20.0000,3,,3.298187,3.29956,3.297729,3.299407,3.29895,3.298492,3.299255,3.299407,3.299865,3.299407,3.299102,3.298339,0,0,0,0,0,0,0,0,0,0,0,0
1717504539134,39.5877,0,0.0,3.297729,3.299865,100.0000,-20.0000,3,,3.298187,3.29956,3.297729,3.299407,3.29895,3.298492,3.299255,3.299407,3.299865,3.299407,3.299102,3.298339,0,0,0,0,0,0,0,0,0,0,0,0
1717504539354,39.5904,0,0.0,3.297882,3.300323,100.0000,-20.0000,3,,3.298339,3.300323,3.298339,3.300018,3.298797,3.297882,3.299102,3.300018,3.299255,3.299407,3.299865,3.299102,0,0,0,0,0,0,0,0,0,0,0,0
1717504539374,39.5904,0,0.0,3.297882,3.300323,100.0000,-20.0000,3,,3.298339,3.300323,3.298339,3.300018,3.298797,3.297882,3.299102,3.300018,3.299255,3.299407,3.299865,3.299102,0,0,0,0,0,0,0,0,0,0,0,0
1717504539614,39.5918,0,0.0,3.298339,3.300323,100.0000,-20.0000,3,,3.298339,3.299865,3.298645,3.300323,3.299865,3.299255,3.29956,3.299407,3.299713,3.29956,3.29895,3.298339,0,0,0,0,0,0,0,0,0,0,0,0
1717504539634,39.5918,0,0.0,3.298339,3.300323,100.0000,-20.0000,3,,3.298339,3.299865,3.298645,3.300323,3.299865,3.299255,3.29956,3.299407,3.299713,3.29956,3.29895,3.298339,0,0,0,0,0,0,0,0,0,0,0,0
1717504539854,39.5891,0,0.0,3.297729,3.299865,100.0000,-20.0000,3,,3.298187,3.299865,3.297729,3.299407,3.298797,3.298645,3.29956,3.299102,3.299865,3.299713,3.29956,3.298645,0,0,0,0,0,0,0,0,0,0,0,0
1717504539874,39.5891,0,0.0,3.297729,3.299865,100.0000,-20.0000,3,,3.298187,3.299865,3.297729,3.299407,3.298797,3.298645,3.29956,3.299102,3.299865,3.299713,3.29956,3.298645,0,0,0,0,0,0,0,0,0,0,0,0
1717504540114,39.5929,0,0.0,3.298034,3.30017,100.0000,-20.0000,3,,3.298339,3.29956,3.298034,3.299407,3.30017,3.299255,3.299865,3.30017,3.29956,3.299713,3.299865,3.29895,0,0,0,0,0,0,0,0,0,0,0,0
1717504540134,39.5929,0,0.0,3.298034,3.30017,100.0000,-20.0000,3,,3.298339,3.29956,3.298034,3.299407,3.30017,3.299255,3.299865,3.30017,3.29956,3.299713,3.299865,3.29895,0,0,0,0,0,0,0,0,0,0,0,0
1717504540355,39.5898,0,0.0,3.298034,3.30017,100.0000,-20.0000,3,,3.298797,3.30017,3.298034,3.29895,3.298797,3.298797,3.30017,3.299713,3.299407,3.299255,3.299102,3.298645,0,0,0,0,0,0,0,0,0,0,0,0
