timestamp,pack_voltage,pack_current,soc,min_cell_volt,max_cell_volt,min_temp,max_temp,state,faults,cell_0_0,cell_0_1,cell_0_2,cell_0_3,cell_0_4,cell_0_5,cell_0_6,cell_0_7,cell_0_8,cell_0_9,cell_0_10,cell_0_11,bal_0_0,bal_0_1,bal_0_2,bal_0_3,bal_0_4,bal_0_5,bal_0_6,bal_0_7,bal_0_8,bal_0_9,bal_0_10,bal_0_11
1716816959956,39.6503,0,0.0,3.2469,3.3589,100.000,-20.000,3,,3.2469,3.2603,3.2681,3.2797,3.2890,3.2991,3.3096,3.3197,3.3298,3.3397,3.3493,3.3589,0,0,0,0,0,0,0,0,0,0,0,0
1716816960197,39.6495,0,0.0,3.2468,3.3589,100.000,-20.000,3,,3.2469,3.2603,3.2681,3.2797,3.2890,3.2991,3.3096,3.3197,3.3298,3.3397,3.3493,3.3589,0,0,0,0,0,0,0,0,0,0,0,0
1716816960436,39.6497,0,0.0,3.2469,3.3591,100.000,-20.000,3,,3.2469,3.2603,3.2681,3.2797,3.2890,3.2991,3.3095,3.3197,3.3295,3.3395,3.3492,3.3591,0,0,0,0,0,0,0,0,0,0,0,0
1716816960456,39.6497,0,0.0,3.2469,3.3591,100.000,-20.000,3,,3.2469,3.2603,3.2681,3.2797,3.2890,3.2991,3.3095,3.3197,3.3295,3.3395,3.3492,3.3591,0,0,0,0,0,0,0,0,0,0,0,0
1716816960696,39.6504,0,0.0,3.2469,3.3589,100.000,-20.000,3,,3.2469,3.2605,3.2680,3.2797,3.2890,3.2993,3.3095,3.3199,3.3296,3.3398,3.3493,3.3589,0,0,0,0,0,0,0,0,0,0,0,0
1716816960937,39.6497,0,0.0,3.2468,3.3589,100.000,-20.000,3,,3.2469,3.2605,3.2680,3.2797,3.2890,3.2993,3.3095,3.3199,3.3296,3.3398,3.3493,3.3589,0,0,0,0,0,0,0,0,0,0,0,0
1716816960957,39.6497,0,0.0,3.2468,3.3589,100.000,-20.000,3,,3.2468,3.2603,3.2680,3.2796,3.2890,3.2993,3.3095,3.3199,3.3296,3.3395,3.3493,3.3589,0,0,0,0,0,0,0,0,0,0,0,0
1716816961197,39.6506,0,0.0,3.2469,3.3591,100.000,-20.000,3,,3.2468,3.2603,3.2680,3.2796,3.2890,3.2993,3.3095,3.3199,3.3296,3.3395,3.3493,3.3589,0,0,0,0,0,0,0,0,0,0,0,0
1716816961436,39.6504,0,0.0,3.2469,3.3591,100.000,-20.000,3,,3.2469,3.2603,3.2681,3.2796,3.2889,3.2993,3.3095,3.3199,3.3298,3.3398,3.3493,3.3591,0,0,0,0,0,0,0,0,0,0,0,0
1716816961457,39.6504,0,0.0,3.2469,3.3591,100.000,-20.000,3,,3.2469,3.2603,3.2681,3.2796,3.2889,3.2993,3.3095,3.3199,3.3298,3.3398,3.3493,3.3591,0,0,0,0,0,0,0,0,0,0,0,0
1716816961697,39.6503,0,0.0,3.2469,3.3591,100.000,-20.000,3,,3.2469,3.2603,3.2681,3.2797,3.2890,3.2991,3.3096,3.3199,3.3296,3.3395,3.3493,3.3591,0,0,0,0,0,0,0,0,0,0,0,0
1716816961936,39.6495,0,0.0,3.2469,3.3589,100.000,-20.000,3,,3.2469,3.2603,3.2681,3.2797,3.2890,3.2991,3.3096,3.3199,3.3296,3.3395,3.3493,3.3591,0,0,0,0,0,0,0,0,0,0,0,0
1716816961957,39.6495,0,0.0,3.2469,3.3589,100.000,-20.000,3,,3.2469,3.2602,3.2681,3.2797,3.2889,3.2991,3.3095,3.3199,3.3296,3.3395,3.3492,3.3589,0,0,0,0,0,0,0,0,0,0,0,0
1716816962197,39.6503,0,0.0,3.2471,3.3589,100.000,-20.000,3,,3.2469,3.2602,3.2681,3.2797,3.2889,3.2991,3.3095,3.3199,3.3296,3.3395,3.3492,3.3589,0,0,0,0,0,0,0,0,0,0,0,0
1716816962437,39.6498,0,0.0,3.2469,3.3591,100.000,-20.000,3,,3.2469,3.2603,3.2681,3.2797,3.2889,3.2991,3.3093,3.3197,3.3296,3.3397,3.3493,3.3591,0,0,0,0,0,0,0,0,0,0,0,0
1716816962457,39.6498,0,0.0,3.2469,3.3591,100.000,-20.000,3,,3.2469,3.2603,3.2681,3.2797,3.2889,3.2991,3.3093,3.3197,3.3296,3.3397,3.3493,3.3591,0,0,0,0,0,0,0,0,0,0,0,0
1716816962698,39.6495,0,0.0,3.2468,3.3588,100.000,-20.000,3,,3.2468,3.2602,3.2681,3.2796,3.2890,3.2991,3.3096,3.3199,3.3296,3.3397,3.3492,3.3588,0,0,0,0,0,0,0,0,0,0,0,0
1716816962937,39.6501,0,0.0,3.2468,3.3591,100.000,-20.000,3,,3.2468,3.2602,3.2681,3.2796,3.2890,3.2991,3.3096,3.3199,3.3296,3.3397,3.3492,3.3588,0,0,0,0,0,0,0,0,0,0,0,0
1716816962956,39.6501,0,0.0,3.2468,3.3591,100.000,-20.000,3,,3.2468,3.2603,3.2681,3.2797,3.2892,3.2991,3.3095,3.3199,3.3296,3.3395,3.3493,3.3591,0,0,0,0,0,0,0,0,0,0,0,0
1716816963197,39.6504,0,0.0,3.2469,3.3589,100.000,-20.000,3,,3.2468,3.2603,3.2681,3.2797,3.2892,3.2991,3.3095,3.3199,3.3296,3.3395,3.3493,3.3591,0,0,0,0,0,0,0,0,0,0,0,0
1716816963437,39.6497,0,0.0,3.2468,3.3589,100.000,-20.000,3,,3.2468,3.2602,3.2680,3.2797,3.2890,3.2991,3.3096,3.3197,3.3298,3.3397,3.3492,3.3589,0,0,0,0,0,0,0,0,0,0,0,0
1716816963457,39.6497,0,0.0,3.2468,3.3589,100.000,-20.000,3,,3.2468,3.2602,3.2680,3.2797,3.2890,3.2991,3.3096,3.3197,3.3298,3.3397,3.3492,3.3589,0,0,0,0,0,0,0,0,0,0,0,0
1716816963697,39.6504,0,0.0,3.2469,3.3592,100.000,-20.000,3,,3.2469,3.2603,3.2683,3.2799,3.2890,3.2991,3.3095,3.3197,3.3296,3.3395,3.3493,3.3592,0,0,0,0,0,0,0,0,0,0,0,0
1716816963936,39.6490,0,0.0,3.2468,3.3589,100.000,-20.000,3,,3.2469,3.2603,3.2683,3.2799,3.2890,3.2991,3.3095,3.3197,3.3296,3.3395,3.3493,3.3592,0,0,0,0,0,0,0,0,0,0,0,0
1716816963957,39.6490,0,0.0,3.2468,3.3589,100.000,-20.000,3,,3.2468,3.2603,3.2680,3.2796,3.2890,3.2991,3.3095,3.3197,3.3295,3.3395,3.3492,3.3589,0,0,0,0,0,0,0,0,0,0,0,0
1716816964197,39.6501,0,0.0,3.2469,3.3591,100.000,-20.000,3,,3.2468,3.2603,3.2680,3.2796,3.2890,3.2991,3.3095,3.3197,3.3295,3.3395,3.3492,3.3589,0,0,0,0,0,0,0,0,0,0,0,0
1716816964437,39.6504,0,0.0,3.2469,3.3589,100.000,-20.000,3,,3.2469,3.2603,3.2680,3.2797,3.2890,3.2994,3.3096,3.3199,3.3296,3.3397,3.3493,3.3589,0,0,0,0,0,0,0,0,0,0,0,0
1716816964457,39.6504,0,0.0,3.2469,3.3589,100.000,-20.000,3,,3.2469,3.2603,3.2680,3.2797,3.2890,3.2994,3.3096,3.3199,3.3296,3.3397,3.3493,3.3589,0,0,0,0,0,0,0,0,0,0,0,0
1716816964697,39.6504,0,0.0,3.2469,3.3591,100.000,-20.000,3,,3.2469,3.2603,3.2681,3.2797,3.2890,3.2991,3.3095,3.3197,3.3299,3.3397,3.3493,3.3591,0,0,0,0,0,0,0,0,0,0,0,0
1716816964937,39.6495,0,0.0,3.2469,3.3588,100.000,-20.000,3,,3.2469,3.2603,3.2681,3.2797,3.2890,3.2991,3.3095,3.3197,3.3299,3.3397,3.3493,3.3591,0,0,0,0,0,0,0,0,0,0,0,0
